place_id,name,address,latitude,longitude,rating,review_count,primary_type,types,website,google_maps_url,search_query,price_numeric_imputed,price_tier_imputed,price_tier_numeric
ChIJeehEiF5zhlQRM3Rx4lVzsgg,Master Donair (HALAL),"1230 Davie St, Vancouver, BC V6E 1N3",49.2821156,-123.1341446,4.9,459.0,mediterranean_restaurant,"mediterranean_restaurant, restaurant, food, point_of_interest, establishment",https://www.masterdonair.com/,https://maps.google.com/?cid=626690110866420787&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Mediterranean restaurants in Yaletown BC,2.0,$$,2
ChIJhxvCoEdzhlQRXjEP79FStno,123Dough Organic Cafe,"1010 Hamilton St, Vancouver, BC V6B 2R9",49.2767373,-123.119761,4.9,403.0,cafe,"cafe, acai_shop, brazilian_restaurant, tea_house, bakery, food_store, store, restaurant, food, point_of_interest, establishment",https://www.123dough.ca/,https://maps.google.com/?cid=8842345980000940382&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Brazilian restaurants in Yaletown BC,2.0,$$,2
ChIJDSDXWdBzhlQRpxc6LmuYLo8,"Puerto Mexico, Tacos and Mexican Products","2710 W 4th Ave, Vancouver, BC V6K 3W2",49.2682179,-123.1667028,4.9,397.0,mexican_restaurant,"mexican_restaurant, grocery_store, food_store, store, restaurant, food, point_of_interest, establishment",http://www.puertomexicovan.com/,https://maps.google.com/?cid=10317351382456866727&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Mexican restaurants in Kitsilano BC,1.0,$,1
ChIJ-0TZPrxxhlQR9GweiyUa99I,AM Cafe,"2528 Guelph St, Vancouver, BC V5T 4T4",49.2621301,-123.0947353,4.9,364.0,cafe,"cafe, coffee_shop, brunch_restaurant, food_store, store, restaurant, food, point_of_interest, establishment",https://www.amcafe.ca/,https://maps.google.com/?cid=15201647815762537716&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Vegetarian restaurants in Mount Pleasant BC,2.0,$$,2
ChIJDyoW7ZpzhlQRGcexMGs7p84,Planted Love Food Truck,"Cambie Street &, W 8th Ave, Vancouver, BC V5Z 1C6",49.2641457,-123.115412,4.9,352.0,middle_eastern_restaurant,"middle_eastern_restaurant, restaurant, food, point_of_interest, establishment",,https://maps.google.com/?cid=14890936024488331033&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Vegan restaurants in Mount Pleasant BC,1.0,$,1
ChIJlUzfl35zhlQRp33i4hf807A,Akihana Sushi,"1205 Davie St, Vancouver, BC V6E 1N5",49.2819738,-123.133467,4.9,334.0,sushi_restaurant,"sushi_restaurant, japanese_restaurant, restaurant, food, point_of_interest, establishment",http://akihanasushi.ca/,https://maps.google.com/?cid=12741804950282206631&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Japanese restaurants in West End BC,2.0,$$,2
ChIJPV46Zf5zhlQRGP6NHGESiCE,Caveman Café & Bakery,"4331 Main St, Vancouver, BC V5V 3R1",49.2468401,-123.101427,4.9,318.0,restaurant,"restaurant, food, point_of_interest, establishment",https://www.cavemancafe.ca/,https://maps.google.com/?cid=2416201408384466456&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Brazilian restaurants in Yaletown BC,2.0,$$,2
ChIJi_JIVa1zhlQRFgoJXrdOoKg,Healthy Noodle House,"2716 W 4th Ave, Vancouver, BC V6K 1R1",49.2682121,-123.1668536,4.9,291.0,chinese_noodle_restaurant,"chinese_noodle_restaurant, tea_store, dumpling_restaurant, bakery, food_store, chinese_restaurant, store, restaurant, food, point_of_interest, supplier, establishment",https://www.healthynoodlehouse.com/,https://maps.google.com/?cid=12150798344109230614&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Chinese restaurants in Kitsilano BC,1.0,$,1
ChIJbSS3NOhxhlQRzXKPx8Winw0,Saan Saan Cafe and Restaurant,"227 Main St, Vancouver, BC V6A 2S7",49.2827013,-123.09981619999998,4.9,269.0,restaurant,"restaurant, food, point_of_interest, establishment",http://saansaan.ca/,https://maps.google.com/?cid=981682214130381517&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Chinese restaurants in Gastown BC,2.0,$$,2
ChIJSyfKDs1xhlQRjA6oWpg7TJI,TWK - The Lebanese Sandwich Spot,"1605 Commercial Dr, Vancouver, BC V5L 3Y3",49.2703333,-123.0698196,4.9,254.0,restaurant,"restaurant, food, point_of_interest, establishment",http://www.twkrestaurant.com/,https://maps.google.com/?cid=10541866353309519500&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Lebanese restaurants in Gastown BC,2.0,$$,2
