place_id,name,address,latitude,longitude,rating,review_count,price_level,primary_type,types,website,google_maps_url,search_query
ChIJUVqtEgpzhlQRvfnZLrgerng,CM Chicken Kitsilano,"1629 Yew St, Vancouver, BC V6K 3E6",49.271221399999995,-123.15519119999999,4.7,756.0,,korean_restaurant,"korean_restaurant, korean_barbecue_restaurant, meal_takeaway, restaurant, food, point_of_interest, establishment",https://cmkits.zomi.menu/,https://maps.google.com/?cid=8695921706907859389&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Chinese restaurants in Kitsilano BC
ChIJo5hdQuxzhlQRROJTbS8F5f8,Sushi Hil,"3330 Main St, Vancouver, BC V5V 3M7",49.255344099999995,-123.10103420000002,4.7,725.0,PRICE_LEVEL_EXPENSIVE,japanese_restaurant,"japanese_restaurant, sushi_restaurant, restaurant, food, point_of_interest, establishment",https://www.sushihil.com/,https://maps.google.com/?cid=18439149950594179652&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Japanese restaurants in Mount Pleasant BC
ChIJj3HBKlpxhlQRb7mk1ZOMeNE,Fassil Restaurant,"736 E Broadway, Vancouver, BC V5T 1X9",49.2623269,-123.08823399999999,4.7,694.0,PRICE_LEVEL_INEXPENSIVE,ethiopian_restaurant,"ethiopian_restaurant, restaurant, food, point_of_interest, establishment",http://www.fassil.ca/,https://maps.google.com/?cid=15093968717704640879&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Ethiopian restaurants in Downtown Vancouver BC
ChIJZwA2m49xhlQR1WVx2aTcQp0,Frying Pan on Denman,"1101 Denman St, Vancouver, BC V6B 1C9",49.288356199999996,-123.14043739999998,4.7,675.0,PRICE_LEVEL_MODERATE,restaurant,"restaurant, food, point_of_interest, establishment",http://thefryingpan604.com/,https://maps.google.com/?cid=11331862212998424021&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Korean restaurants in Kitsilano BC
ChIJv8sUF1VxhlQRGOx0Je-CGNs,Wow Full Noodle House,"505 Dunsmuir St, Vancouver, BC V6B 1Y4",49.282569099999996,-123.1145576,4.7,643.0,,asian_fusion_restaurant,"asian_fusion_restaurant, asian_restaurant, fusion_restaurant, restaurant, food, point_of_interest, establishment",https://www.clover.com/online-ordering/wowfull,https://maps.google.com/?cid=15787512457384487960&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Chinese restaurants in Downtown Vancouver BC
ChIJB0cfX6tzhlQR6l1sB6MVKD8,Ocean Goose Japanese Restaurant,"1850 W 4th Ave, Vancouver, BC V6J 1M3",49.267837799999995,-123.14669829999998,4.7,641.0,,restaurant,"restaurant, food, point_of_interest, establishment",https://oceangoose.ca/,https://maps.google.com/?cid=4550911213406281194&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Japanese restaurants in Kitsilano BC
ChIJzZFcYSdxhlQRBEix0Q2qvxg,B House Restaurant,"2270 Commercial Dr, Vancouver, BC V5N 4B5",49.2644549,-123.0695255,4.7,629.0,,asian_fusion_restaurant,"asian_fusion_restaurant, asian_restaurant, fusion_restaurant, restaurant, food, point_of_interest, establishment",http://www.bhouse.ca/,https://maps.google.com/?cid=1783330953791358980&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Chinese restaurants in Commercial Drive BC
ChIJNwjdpkdxhlQRlKAwiWMe-5U,Mediterranean Specialty Foods - Turkish Market,"1824 Commercial Dr, Vancouver, BC V5N 4A5",49.268284,-123.069471,4.7,625.0,,grocery_store,"turkish_restaurant, mediterranean_restaurant, grocery_store, food_store, restaurant, food, store, point_of_interest, establishment",https://msfoods.ca/,https://maps.google.com/?cid=10807265143657898132&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Mediterranean restaurants in Commercial Drive BC
ChIJcY8oAqzhhVQRvDJxB30eTzY,Village Curry,"3791 Bayview St, Richmond, BC V7E 3A4",49.1242613,-123.18323670000001,4.7,618.0,,indian_restaurant,"indian_restaurant, pakistani_restaurant, north_indian_restaurant, restaurant, food, point_of_interest, establishment",https://villagecurry.ca/,https://maps.google.com/?cid=3913380123552854716&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Indian restaurants in Richmond BC
ChIJ5c_2TSRxhlQR28JRHLn1Rt8,KAKAI SUSHI (Vancouver Broadway Branch),"#101, 1638 E Broadway, Vancouver, BC V5N 1W1",49.262189,-123.07081679999997,4.7,608.0,,japanese_restaurant,"japanese_restaurant, restaurant, food, point_of_interest, establishment",http://kakaisushi.ca/,https://maps.google.com/?cid=16088816894220550875&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Japanese restaurants in Commercial Drive BC
ChIJNeveR1ZxhlQRtxa0L7HxEaM,AMRUT KITCHEN AND BAR - HYDERABADI INDIAN RESTAURANT,"433 W Pender St, Vancouver, BC V6B 1V2",49.2831841,-123.11238519999999,4.7,602.0,,indian_restaurant,"cocktail_bar, fine_dining_restaurant, sports_bar, indian_restaurant, bar, restaurant, food, point_of_interest, establishment",https://amrutkitchenandbar.ca/,https://maps.google.com/?cid=11750438646098171575&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Indian restaurants in Downtown Vancouver BC
ChIJn8Gc-vF-C0ERZvrO0uPOd4E,The Patty Shop,"4019 Macdonald St, Vancouver, BC V6L 1R3",49.250690899999995,-123.1680835,4.7,598.0,PRICE_LEVEL_INEXPENSIVE,bakery,"bakery, food_store, store, food, point_of_interest, establishment",,https://maps.google.com/?cid=9329152631010949734&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Caribbean restaurants in Downtown Vancouver BC
ChIJoe-s75x3hlQR5tF-vGB7kOg,Brazilliant café & catering inc. | Vancouver,"552 Seymour St, Vancouver, BC V6B 3J5",49.2832888,-123.11439419999999,4.7,597.0,,restaurant,"restaurant, dessert_restaurant, buffet_restaurant, acai_shop, brazilian_restaurant, catering_service, snack_bar, food_delivery, meal_takeaway, grocery_store, food_store, store, food, point_of_interest, service, establishment",http://brazilliant.ca/,https://maps.google.com/?cid=16758029868855120358&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Brazilian restaurants in Downtown Vancouver BC
ChIJJRSUUyhyhlQRKhAwVlk7Y1Q,Fables & Food Café,"1016 Cardero St, Vancouver, BC V6G 2H1",49.2870032,-123.1357523,4.7,575.0,,cafe,"cafe, coffee_shop, bistro, grocery_store, food_store, event_venue, store, restaurant, food, point_of_interest, establishment",,https://maps.google.com/?cid=6080769176764420138&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Spanish restaurants in West End BC
ChIJlfCReJtzhlQRcZVq2z6DHbg,Sashimiya,"1348 Hornby St, Vancouver, BC V6Z 2L8",49.276698599999996,-123.1303543,4.7,565.0,PRICE_LEVEL_MODERATE,meal_takeaway,"meal_takeaway, restaurant, food, point_of_interest, establishment",http://sashimiya.ca/,https://maps.google.com/?cid=13266904383295755633&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Japanese restaurants in Downtown Vancouver BC
